,Passdepat,Passarrival,arrival,cityEntre,depart,cityArrive,adi,airparrive,TimeZone,Sheng,flightnumber,Company,Arrival Estimated
3,1,1,DE,Toronto,CA,Frankfurt,A,FRA,Europe/Berlin,True,840,AC,2022-08-14T06:20:00+02:00
6,M,1,DE,Vancouver,CA,Frankfurt,A,FRA,Europe/Berlin,True,846,AC,2022-08-14T08:05:00+02:00
5,,1,DE,Montreal,CA,Frankfurt,A,FRA,Europe/Berlin,True,844,AC,2022-08-14T08:10:00+02:00
0,0,2,DE,Dallas-Fort Worth,US,Frankfurt,A,FRA,Europe/Berlin,True,70,AA,2022-08-14T08:45:00+02:00
1,0,2,DE,Dallas-Fort Worth,US,Frankfurt,A,FRA,Europe/Berlin,True,70,AA,2022-08-14T08:45:00+02:00
2,0,2,DE,Dallas-Fort Worth,US,Frankfurt,A,FRA,Europe/Berlin,True,70,AA,2022-08-14T08:45:00+02:00
17,2G,2,DE,Paris,FR,Frankfurt,A,FRA,Europe/Berlin,True,1818,AF,2022-08-14T09:20:00+02:00
16,2G,2,DE,Paris,FR,Frankfurt,A,FRA,Europe/Berlin,True,1818,AF,2022-08-14T09:20:00+02:00
15,2G,2,DE,Paris,FR,Frankfurt,A,FRA,Europe/Berlin,True,1618,AF,2022-08-14T09:20:00+02:00
18,I,2,DE,Algier,DZ,Frankfurt,A,FRA,Europe/Berlin,True,2070,AH,2022-08-14T09:20:00+02:00
40,,1,DE,Heraklion,GR,Frankfurt,A,FRA,Europe/Berlin,True,430,A3,2022-08-14T10:15:00+02:00
41,,1,DE,Heraklion,GR,Frankfurt,A,FRA,Europe/Berlin,True,430,A3,2022-08-14T10:15:00+02:00
42,,1,DE,Heraklion,GR,Frankfurt,A,FRA,Europe/Berlin,True,430,A3,2022-08-14T10:15:00+02:00
43,,1,DE,Rhodos,GR,Frankfurt,A,FRA,Europe/Berlin,True,480,A3,2022-08-14T10:15:00+02:00
7,,1,DE,Calgary,CA,Frankfurt,A,FRA,Europe/Berlin,True,848,AC,2022-08-14T10:55:00+02:00
4,1,1,DE,Toronto,CA,Frankfurt,A,FRA,Europe/Berlin,True,842,AC,2022-08-14T11:10:00+02:00
10,,,DE,Halifax,CA,Frankfurt,A,FRA,Europe/Berlin,True,7270,AC,2022-08-14T11:25:00+02:00
9,,,DE,Halifax,CA,Frankfurt,A,FRA,Europe/Berlin,True,7210,AC,2022-08-14T11:25:00+02:00
44,,1,DE,Rhodos,GR,Frankfurt,A,FRA,Europe/Berlin,True,480,A3,2022-08-14T13:45:00+02:00
46,,1,DE,Thessaloniki,GR,Frankfurt,A,FRA,Europe/Berlin,True,530,A3,2022-08-14T13:45:00+02:00
